input_id	dealiased_id	standard_id	short_id
https://panglaodb.se/index.html	https://panglaodb.se/index.html	url:https://panglaodb.se/index.html	M0lqRYJb
doi:10.1093/database/baz046	doi:10.1093/database/baz046	doi:10.1093/database/baz046	T3PlZ3Vh
url:https://www.w3.org/DesignIssues/LinkedData.html	url:https://www.w3.org/DesignIssues/LinkedData.html	url:https://www.w3.org/DesignIssues/LinkedData.html	OGXYtGZ8
url:http://www.obofoundry.org	url:http://www.obofoundry.org	url:http://www.obofoundry.org	B9Ej2xAj
url:https://www.wikidata.org/wiki/Wikidata:Notability	url:https://www.wikidata.org/wiki/Wikidata:Notability	url:https://www.wikidata.org/wiki/Wikidata:Notability	RYLtL50O
